addr	size
257	10
267	4
271	2
281	6
287	2
293	6
299	2
305	18
323	20
343	4
347	2
353	14
367	6
373	18
391	8
399	2
405	14
419	10
429	6
435	2
437	8
445	4
455	26
469	12
481	10
491	14
497	8
505	22
527	8
529	6
535	12
547	4
551	8
553	6
559	10
569	18
587	4
591	12
599	4
603	12
607	8
615	4
619	6
625	4
629	14
643	2
645	16
651	10
661	6
667	20
687	6
693	20
713	2
715	22
737	10
747	22
769	10
779	10
789	4
793	6
799	28
821	6
827	20
837	10
847	34
863	18
865	16
881	4
885	18
903	14
917	4
921	6
927	12
939	2
945	8
957	6
963	2
965	28
993	12
1005	10
1015	2
1029	12
1041	18
1057	2
1059	2
1069	36
1105	8
1113	2
1115	12
1123	4
1127	32
1131	28
1159	6
1165	8
1173	6
1179	2
1181	38
1187	32
1219	6
1229	78
1307	2
1313	34
1347	8
1355	2
1357	28
1365	20
1367	18
1385	26
1395	16
1411	4
1415	2
1421	34
1455	8
1463	20
1471	12
1483	4
1491	4
1495	8
1497	6
1503	22
1509	16
1525	6
1531	6
1537	18
1545	10
1547	8
1555	4
1559	8
1567	6
1573	6
1579	46
1625	6
1631	12
1637	6
1643	4
1647	4
1651	8
1659	10
1665	4
1669	2
1671	8
1679	4
1683	2
1685	8
1693	8
1701	10
1711	2
1717	20
1741	16
1757	2
1759	2
1761	4
1765	38
1805	4
1809	8
1817	6
1823	22
1841	4
1853	38
1891	2
1901	56
1957	4
1961	12
1973	26
1999	20
2025	24
2049	6
2055	2
2057	6
2063	18
2079	2
2085	22
2107	2
2113	44
2161	52
2213	4
2217	4
2221	4
2233	50
2283	2
2289	8
2297	8
2305	8
2313	4
2317	8
2325	4
2327	2
2333	20
2353	14
2367	18
2401	8
2413	18
2419	12
2431	2
2437	22
2459	8
2467	6
2473	12
2497	24
2529	34
2563	2
2569	24
2589	4
2593	4
2597	2
2599	6
2605	4
2609	6
2615	8
2623	22
2645	6
2651	10
2653	8
2661	12
2665	8
2677	18
2695	2
2701	14
2715	2
2721	12
2733	4
2741	12
2753	6
2759	16
2763	12
2775	2
2777	12
2797	26
2823	4
2827	8
2831	4
2835	12
2847	16
2859	4
2863	18
2869	12
2881	4
2885	4
2889	10
2899	4
2903	20
2923	2
2925	6
2931	6
2937	6
2943	4
2947	6
2953	6
2959	12
2971	6
2977	12
2989	30
2997	22
3019	10
3023	6
3029	12
3041	6
3047	12
3059	10
3069	12
3081	6
3087	12
3099	6
3105	6
3111	8
3119	12
3131	6
3157	8
3165	4
3173	16
3197	22
3219	4
3223	2
3233	20
3253	8
3261	6
3267	22
3275	14
3297	2
3299	10
3309	2
3311	2
3317	24
3341	12
3365	30
3395	4
3399	12
3411	4
3415	2
3433	30
3463	6
3469	10
3479	6
3485	14
3499	6
3505	6
3511	4
3515	10
3525	4
3529	16
3545	4
3549	6
3553	2
3555	6
3573	26
3599	4
3603	12
3615	6
3625	56
3681	8
3689	4
3701	30
3731	16
3747	16
3763	50
3813	4
3821	2
3823	4
3827	2
3829	8
3837	4
3841	2
3843	2
3849	26
3863	12
3875	6
3881	14
3895	6
3901	4
3905	16
3921	4
3925	4
3929	6
3935	32
3947	20
3955	12
3967	8
3975	4
3979	2
3981	12
3989	4
3993	18
4011	2
4013	6
4019	8
4027	8
4035	22
4057	8
4065	2
4067	12
4079	2
4101	8
4109	2
4111	6
4117	6
4123	4
4125	2
4127	6
4141	10
4151	10
4161	10
4171	4
4175	2
4181	22
4203	10
4213	8
4221	6
4223	4
4227	14
4241	34
4251	24
4275	6
4281	12
4293	4
4297	10
4299	8
4307	14
4321	6
4327	12
4329	10
4339	6
4345	10
4355	2
4357	6
4363	12
4375	4
4379	6
4385	8
4393	6
4399	6
4405	6
